,title,author,tags,summary,words,chapters,comment,kudos,bookmarks,hits
17,Misfire,VivatRex,"['Supernatural', 'Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Crowley finds himself in another universe; Aziraphale goes to fetch him. In the meantime, Team Free Will has to figure out what to do with the 6,000 year old demon that won't stay in a devil's trap and keeps rooting through Dean's vinyl collection. Shenanigans ensue.",99362.0,25,1789,8644,2119,133612
18,"wherever you are, i'll come to you",mutalune,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“Are you alright? What’s all this about then?”“Ah. Well. I might have slipped.”“Slipped?”“Took a bit of a tumble, I’m afraid,” Aziraphale said. “But, well. What’s done is done.”“What’s done - ?”“Now that I’m no longer beholden to a rather arbitrary moral code, I have to ask: Do you pay taxes? Actually, more importantly, do you think I can stop paying taxes now? That seems like a sufficiently demonic thing to do. Refusing to do my civic duty and whatnot. Quite devious, I’d argue.”This was, in hindsight, not the most sensitive way of breaking the news.",11375.0,6,556,8384,1937,59890
19,Five Times Aziraphale Saves Crowley (And One Time He Fails),Captain_Kieren,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Basically what it says on the tin.1. Holy Water2. Exorcised3. Thrown4. Stabbed5. Demon Hunter+1. Betrayed,30448.0,6,628,8317,1610,87982
20,Anthophilia,FortinbrasFTW,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Anthony J. Crowley's life seems like it's finally falling into place: his floral shop has begun to gain an undercurrent of appreciation in the design elite of London, and he might have even finally found a boyfriend who looks just right lounging on his Tenreiro sofa. Things seem almost perfect, until one day the empty shop across the street is leased to frumpy fellow Oxford alumni, who doesn't seem to remember Crowley nearly as well as he remembers him, which really shouldn't bother him as much as it does - it was ten years ago after all, and it wasn't eventhatgood of a kiss.",49446.0,10,985,8132,2157,87201
21,Exposed,LollipopCop,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“Oh,” Gabriel’s eyes widened, hand coming to rest upon his chest. The smugness left his face, instantly replaced with realization and a hint of horror in his eerie, violet eyes. He was quiet for a long, unbearable pause.“Uh, what?” Crowley asked, lifting his head.Gabriel was staring at Aziraphale, looking positively astounded. “I feel it. I, this has been around you for a long time, but I feel it even more now. I guess because he’s actually here with you.”Aziraphale shifted on his feet anxiously, dread in the pit of his stomach. “What on earth are you talking about?”“You love him,” Gabriel said, almost in awe. It wasn’t an accusation, but a statement of fact.Crowley’s jaw dropped with an audible intake of breath and his sunglasses slid down the bridge of his nose. He whipped around to him.Aziraphale wanted to bolt.~~~~In which Gabriel can feel how much Aziraphale loves Crowley, and outs him.",8867.0,2,276,8001,1213,77370
22,every angel is terrifying,fruitygoblin,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“Why does it bother you?” Crowley asked. “Even if you can’t get to them in time to wipe their memories, it’s not like anyone’d believe them. Kid goes running to her mum saying Ooh, I’ve just seen a bloke with three heads and a sixteen-foot wingspan, what do you think’s going to happen? Chances are they’ll just pat her on the shoulder and tell her what a vivid imagination she’s got.”“That’s not what worries me,” said Aziraphale.",4769.0,1,198,7556,1185,58227
23,The One in Which Crowley Discovers Wanking,for_autumn_i_am,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","It began, like most memorable events in Crowley’s life did, with a bad decision; like most bad decisions, it involved poor impulse control and copious amounts of alcohol. The Antichrist had been born, and he put on lipstick and kitten heels to deal with it, but knew that the clock was ticking, and at times when time was slipping away, it helped to hold onto a bottle of gin.",5748.0,1,587,7290,1415,71787
24,good for the soul,singingtomysoul,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","The demon raises an eyebrow in an unnaturally perfect arch. ""Not really my purview, is it, confession?""""You'll think it's funny. Well, you might."" The corners of his mouth turn up, nervously, though there's that look in his eyes - a combination of warmth and weight that tugged at Crowley even before he knew what it meant. He's still not sure what to do with it, even after all this time.""Angel,"" he begins, ""you don't have to-""""For the longest time, you see, I worried it was a - I think it's called a long game.""Aziraphale doesn't feel guilty, for once, but has some things to confess.Crowley doesn't think he has guilt, and doesn't plan to confess anything. On both counts, he's wrong.",3613.0,1,146,6951,926,50951
25,Pretend For Me,LollipopCop,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Crowley was still as stone beside him. His ears were cherry-red. “So...if we pretend we’re in a relationship, we’ll be safe.”“I believe so.”“And that would, that would involve, what?” he spoke hesitantly, softly. “Holding your hand, telling you that you mean a lot to me, kissing you for them to see?”Two great hands were constricting Aziraphale’s lungs. He fought back an undignified wheeze. “Yes, I think so.”“I can do that,” he croaked.~In a panic, Aziraphale tells the archangels he survived hellfire due to his soul mixing with Crowley's because they're in a romantic and sexual relationship. They want him to prove it. Cue a fake relationship.",52919.0,10,1672,6950,1305,101448
26,"The 21st Century, In Which They Finally Work It Out",chaya,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","This is light speed in comparison to the last few centuries of their relationship, but Crowley is barely holding on to his patience.",22380.0,12,1420,6778,1484,68864
27,Full of sibilance,obaewankenope (rexthranduil),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'Harry Potter - J. K. Rowling']",“You’re such afreak!”The rotund boy’s words echo across the garden of the house they seem to potentially live at—or at least one of them does—and reach Crowley’s ears easily enough. They instantly make him narrow his eyes behind his sunglasses. “No wonder your parents died! Probably to get away fromyou!”What. The. Fuck.,906.0,1,145,6694,340,48797
28,Thy Kingdom Come,ShanaStoryteller,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Crowley is just following orders.,13232.0,1,390,6658,2124,42706
29,The Norwegian Civil War,copperbadge,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",It had never been Aziraphale's intention to found a sort of secret society of angry angels. Certainly he'd never imagined he might run a halfway house on Earth for them.,8732.0,1,427,6620,2024,44126
30,So You Need To Get Into A.Z. Fell & Co.; Now What? (A Guide For Unfortunate Bookworms),c4llistrad,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","London’s antique enthusiasts and rare lit nerds alike know that if you’re looking for a specific vintage or antique book, you have a good chance of ending up in A.Z. Fell & Co. as a last resort. And if you’ve ever been in (or are currently in) this predicament, you know how much of an absolute nightmare it is trying to even get in the door. Luckily, this handy guide, the fruit of a months-long collaborative effort to create the perfect formula for gaming the A.Z. Fell system, will tell you everything you need to know, complete with a comprehensive breakdown of what, exactly, the opening hours are. Compiled by pageknight and inky of the Rare Antique Forums.",1838.0,1,270,6563,1284,27397
31,"how big the hourglass, how deep the sand",bibliocratic,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","After the Apocalypse, and with characteristic slowness, both Crowley and Aziraphale think there might be something they need to sit down and talk about.And then Aziraphale disappears.",27557.0,4,837,6508,1321,81078
32,A Honored Guest,strawberriesandtophats,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Mr. Aziraphale had been a frequent visitor since the day they had opened their sushi restaurant. His neat suit hadn’t changed or his blonde hair. In fact, he hadn’t aged at all.",904.0,1,365,6425,971,26689
33,"Crowley Invented Youtube Recommended (Parsley, Thyme, Sage, Daffodils remix)",flibbertygigget,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","After Aziraphale's video on crêpes makes it into Youtube recommendations through a little demonic intervention, he quickly goes viral. Cue college students just trying to make it work, a bunch of young queers who see A.Z. Fell and his husband Anthony as ""goals,"" and quite a few comments from one Newton Pulsifer.",1935.0,1,455,6340,1124,32290
34,Madman and a Fool,loserchildhotpants,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","God considers Crowley's unyielding pining for Aziraphale, his acts during the End of the World, and his very genuine desire to protect Aziraphale, worth rewarding. She can't make him an Angel again, but She can nudge Aziraphale in the right direction.If nothing else, She'd really just like Crowley to stop using Her prayer inbox for endless soliloquies about Aziraphale.",15040.0,5,879,6285,1554,50420
35,Running to Catch Up,Solarcat,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",An angel and a demon step onto a bus that will not be heading to Oxford.,2033.0,1,264,6203,962,36895
36,the bucket list,darcylindbergh,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","There was a certain look that Aziraphale wore occasionally—a pinched sort of moue that looked like he’d just taken a very large mouthful of cinnamon—which meant he thought Crowley was being ridiculous. He had put it on.“Hang on,” he had said. “You want us to do human things?”*If you're going to go native, you might as well go all the way.",44108.0,10,3364,6042,1538,84728
37,"these furious passions, these chances",Ark,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Jesus fucking Christ, he’s in love with Crowley.",13048.0,1,573,5977,1728,57753
38,A Street in a Strange World,Giddygeek,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“How did you ever know?” Aziraphale asked Crowley. “How did you know when I was in trouble and could use a spot of, hmm, otherworldly intervention?”ORIn the beginning, God gave the angel Aziraphale a flaming sword.",8238.0,1,206,5927,1194,39929
39,Lie Back and Think of Dinner,jessthereckless,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","""Crowley, this is a disaster. This is everything I ever wanted. We’re in love. And there’s a picnic. And we don’t seem to be able to get…amorous without causing earthquakes.”Aziraphale attempts subterfuge. Crowley sees right through him.",11014.0,1,399,5854,1477,65103
40,Something to do with these sacred words,Solshine,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley confesses early, and Crowley confesses often. Aziraphale never knows quite what to say.",11355.0,1,446,5811,1841,46137
41,We're Both Of Us Above,obstinatrix,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Crowley lets slip that he knows a certain something about Aziraphale. He seems to think it's important; Aziraphale doesn't understand why. Until he does.,3325.0,1,241,5784,769,49113
42,that pulse of my nights and days,Ark,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Aziraphale laughs, the delighted, breathy giggle he gives after his second bottle of champagne. “Such a shame we didn’t come to this sooner,” he says, pulling back and—oh, naughty angel!—increasing the length and girth of his cock when he pushes back in. Crowley gasps, and Aziraphale—greedy, too!—tilts in to swallow the sound from his lips, flicks his tongue against Crowley’s as though chasing after the flavor of this elongated pleasure.",1694.0,1,187,5566,776,48408
43,The Lightness of You,Rend_Herring,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","God should not have built them with such discrepancy, made them need for love, and long for wholeness, then left them to their own devices.",13937.0,1,752,5512,1737,59476
44,The Faces We Wear,AEpixie7,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","""You can stay at my place, if you like.""*All the smut writers crawl out of the woodwork, smiling maniacally and rubbing their hands together*Guess what BITCHES I'm no exception.",6971.0,1,178,5461,853,60491
45,Stars Above You,Demorra (thebibliosphere),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","""We can run away together,"" he’d said, ""Alpha Centauri, lots of space up there, no one would even notice us…""",1215.0,1,174,5451,480,36481
46,Warning Aziraphale,obaewankenope (rexthranduil),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'Harry Potter - J. K. Rowling']",“I stole a kid and he’s living in your flat now because it’s more kid-friendly. Names Harry. Nice kid. Smart. You’ll like him.”,1186.0,1,146,5427,202,42951
47,Not So Blue,pineapplecrushface,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",Aziraphale presses his suit. Crowley mostly has a lot of questions.,5501.0,1,257,5384,1031,37687
48,Build Our Kingdom,Mackem,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“Ready for lunch?” Crowley drops to his knees to start unbuckling the straps on the basket as though this is something they do all the time; as though he hasn’t just effortlessly catapulted Aziraphale back in time almost fifty years.“You remembered,” Aziraphale breathes as wonder courses through him. He mentioned something once during an awkward moment, half a century ago, and now here kneels a demon atop a picnic blanket.“Hmm?” Crowley barely shoots him a sidelong glance as he concentrates on opening the basket.Aziraphale’s eyes do not move from him. “You remembered,” he repeats, no less stunned. “Crowley, you really didn’t have to.”Crowley’s hands still. Eventually, his eyes still on the basket, he murmurs, “Well, we did The Ritz, didn’t we?”",9355.0,1,221,5320,1037,38236
49,Through Every Door,darlingred1,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","What would it hurt, really? It wasn’t like Crowley had anything better on. No more orders, no more quotas, no more Arrangement. Aziraphale would never have to know.“Wonderful. I’m the demon on my own shoulder.”And he’d lost his angel, hadn’t he? All he had left were thoughts, memories…fantasies. And he had a very good imagination.(After thwarting the end of the world, Aziraphale begins to avoid Crowley, and Crowley accidentally awakens his own repressed lust.)",15328.0,1,239,5280,1179,47464
50,Angels vs Christmas,KittyAug,"['Supernatural', 'Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Gabriel turns up on Christmas morning with an injured angel and demands that the Winchesters summon Crowley, of all people, to fix him up. Dean is grumpy, Cas is confused and Sam is way too drunk for this. No one knows what’s going on.",3891.0,1,67,5186,791,51162
51,Breathing Space,Jennistar,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“It's just us,” Crowley says, quieter now Aziraphale is looking at him. “Like I said before. There's not really sides anymore. At least for now. And it could be the only chance we ever get. To try it. Just for a bit.”",1465.0,1,137,5112,611,24928
52,One Night In Bangor (And the World's Your Oyster),Atalan,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","""All right, I know I'm going to regret asking this,"" Aziraphale says. ""What exactly does this wager entail?""Crowley grins like the cat that not only got the cream but has absconded with the entire cow. He grabs the bottle and swigs straight from it despite Aziraphale's tut of disapproval.""The pot goes to whichever demon can get an angel into bed by the end of the evening.""AKA The Fic That Tumblr Made Me Write. Heaven and Hell share a corporate party once per millennium. This time someone's had the bright idea of issuing a challenge to the demons of Hell. Crowley has no intention of missing the opportunity; Aziraphale's just enough of a bastard to make him work for it.",17381.0,1,390,5065,1411,40269
53,The Story of Anthony J Crowley acquiring a nine-year-old child,obaewankenope (rexthranduil),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'Harry Potter - J. K. Rowling']","Anthony J Crowley accidentally acquires a nine-year-old child when he comes across the scene of a middle-aged woman smacking said nine-year-old child with a frying pan while screaming about something to do with ‘cooking the bacon properly’. Now, Crowley is, at his core, a bastard. But he’s a bastard whocares.",774.0,1,104,5044,202,42247
54,Well Versed in Wanting,hollybennett123,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Aziraphale has never met anyone else who can so eloquently convey the embodiment of a nonchalant shrug with a quirk of their mouth alone, but Crowley succeeds in doing just that before getting up and sauntering off into the sitting room. Goodness, the sway of his hips when he walks is sounnecessary. A distraction that frankly shouldn’t be allowed.He lasts thirty-seven minutes before rescheduling their ‘evening’ appointment to ‘imminent’ and informing Crowley there’s been a change of plan.(or: Crowley stumbles upon Aziraphale’s private book collection, and revelations are had of the non-biblical kind)",7667.0,1,379,4983,1157,44706
55,Footnote,copperbadge,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Aziraphale thinks they've been married for three years and that Crowley just doesn't like sex. Crowley islosing his mind.(Companion toThe Norwegian Civil War.),6178.0,1,242,4895,717,50719
56,"An Angel, a Demon and a Child Saviour go to Hogwarts: Year One",obaewankenope (rexthranduil),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'Harry Potter - J. K. Rowling']","“An owl, cat, or toad—what the fuck?” Crowley complains and Aziraphale smacks him on the arm for cursing.“Crowley! Language!” the angel gasps, plucking the letter from the demons hand to read it himself. “Well—that is—it’s a little restrictive, I’ll admit,” he says, frowning a little at the list and specifications. “But if those are the only options—”“Then we’ll make new options,” Crowley declares and Harry—enjoying the rebelliousness of his uncle Crowley immensely—nods vigorously.",6878.0,1,305,4868,239,46215
57,(Don't) Say My Name,CosmicOcelot,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“Aziraphale,” Crowley clutches tighter at Aziraphale’s jacket, hissing the words between his teeth, and the slightly hysterical edge to his voice makes the angel’s entire body flood with sheer panic.“Someone’s summoning me.”",4771.0,1,131,4833,795,28811
58,A Bushel and a Peck,thehoyden,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Sometimes, a family is a demonic nanny, an angelic cook, and a kid who isn't actually the Antichrist.Or: Crowley helps Aziraphale secure a different position at the Dowling Estate.",20029.0,1,425,4811,1591,37626
59,Bake-Offs and Bees,obaewankenope (rexthranduil),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'Harry Potter - J. K. Rowling']","“Children are the future, after all. Need the future alive and well to do—well—evil or good, depending on what department you are.”“Exactly,” Crowley nods. “So I had to step in. Protect a potential investment.”",1768.0,1,193,4806,176,39315
60,Lead me to the banquet hall,obstinatrix,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley loves taking Aziraphale out to eat almost as much as Aziraphale loves eating, but it's always a bit of a one-sided affair. Aziraphale has never understood why. Crowley planned on keeping it that way, but best laid plans...",14780.0,1,929,4764,1615,57485
61,My Fandom Needs Me,orphan_account,"['Marvel Cinematic Universe', 'The Avengers (Marvel Movies)', 'Marvel', 'The Avengers (Marvel) - All Media Types', 'Marvel (Comics)', 'X-Men (Movieverse)', 'The Lord of the Rings - J. R. R. Tolkien', 'The Lord of the Rings - All Media Types', 'The Lord of the Rings RPF', 'The Lord of the Rings (Movies)', 'The Hobbit - All Media Types', 'The Hobbit (Jackson Movies)', 'The Hobbit - J. R. R. Tolkien', 'The Hobbit RPF', 'Sherlock (TV)', 'Sherlock (TV) RPF', 'X-Men - All Media Types', 'Guardians of the Galaxy (Movies)', 'Thor (Movies)', 'Thor - All Media Types', 'Sherlock Holmes & Related Fandoms', 'Captain America (Movies)', 'Iron Man (Movies)', 'Doctor Strange (2016)', 'Supernatural', 'Criminal Minds (US TV)', 'Supernatural RPF', 'Star Wars - All Media Types', 'Star Wars Sequel Trilogy', 'Spider-Man: Homecoming (2017)', 'Spider-Man - All Media Types', 'Harry Potter - J. K. Rowling', 'Fantastic Beasts and Where to Find Them (Movies)', 'Merlin (TV)', 'Captain Marvel (2019)', 'Doctor Who (2005)', 'Doctor Who', 'Doctor Who & Related Fandoms', 'The Walking Dead (TV)', 'The Walking Dead & Related Fandoms', 'Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","From immortal dragon riders to the classic best-friends-to-lovers trope, this work has it all. This is a collection of XReader One-Shots from multiple (probably too many) fandoms also posted on my Tumblr. Fluff, angst, and a shit ton of references!Links for prompts, some rules for requests, and a list of my current requests can be found in the first chapter. More relationships will be added as chapters are added. All the relationships I've written for are also in the tags. Rated T for language, violence, and character death.(This collection is completed, but I'm still writing one-shots! I post them here and on my Tumblr, @generallynerdy.)",227340.0,163,717,4748,348,153780
62,The Gift,rfsmiley,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley is stunned when, out of the blue, Aziraphale has a proposal. Yes, that kind.",1507.0,1,408,4702,710,24076
63,On The Matter Of Touch,Somedrunkpirate,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“On the matter of touch,” Crowley begins, waving his teaspoon in what he hopes passes for idle curiosity. “Thoughts?”---For two ineffable husbands, they don't really touch each other much. Here is a story on why that might be.",9030.0,1,469,4552,927,32895
64,Everybody Knows but You,writer_zo,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Everyone seems to believe that Crowley and Aziraphale are in love. Everyone, however, has to be wrong, because (as Crowley knows) an angel could never love a demon and (as Aziraphale knows) a demon could never love an angel.",8666.0,3,341,4543,647,35934
65,"An Angel, A Demon, and a Child Saviour go to Hogwarts: Year Two",obaewankenope (rexthranduil),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'Harry Potter - J. K. Rowling']","Harry Potter, a principality and a demon go to Hogwarts for the second year in a row. This year has strange happenings, lots of drama and, as usual, someone trying to kill Harry because apparently that's just a Thing. Crowley and Aziraphale are there to mess things up simply by existing and it's a wild ride for everyone. Oh and there's a House-Elf too. Fun right?",26313.0,4,772,4534,303,44892
66,"it's high time that you love me, cause you do it so well",mygalfriday (BrinneyFriday),"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",The looming threat of searing pain and the memory of blood pouring out of his mouth is enough of a deterrent to keep Crowley from ever daring to attempt saying the word Love again but nothing -not even God Herself -could stop him from showing it.,8608.0,1,442,4520,1029,22641
67,"Forgiven, Loved",LollipopCop,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley believes he is utterly unforgivable and unlovable from his Fall, especially in the eyes of an angel. Aziraphale, shocked to discover how little Crowley truly thinks of himself, must set the record straight.",6012.0,1,201,4503,728,46955
68,His Banner Over Me,pineapplecrushface,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Three of Aziraphale's excellent ideas, and how Crowley (very casually) obliges him, as a friend does.",5475.0,1,224,4484,787,40646
